Play Area: 2.1m x 3.4m, 1.447934
24 courses available, 1.4537
Play Area: 2.1m x 3.4m, 1.896606
24 courses available, 1.903144
Tare feet, 185.5009
Loaded course_6_swing, 196.1385
Subject navigating course: True, 250.835
Off course, 273.3041
Back on course, 273.981
Off course, 275.8135
Back on course, 275.8582
Off course, 275.8686
Back on course, 277.4684
Off course, 280.156
Back on course, 282.1219
collide*(1.2350, 0.0818, 1.5734)*CollisionTracker_RF*(1.6729, -0.2652, -0.1681) *(4.4110, -4.7981, -1.7852)*(1.1554, 0.1184, 1.5192)*Foot*(1.3367, 0.0417, 1.6094), 654.7498
collide*(1.2381, 0.0998, 1.5658)*CollisionTracker_LF*(0.0225, -0.0486, 0.0259) *(-0.1970, -0.0722, -0.0533)*(1.3367, 0.0417, 1.6094)*Foot*(1.1545, 0.1202, 1.5184), 654.7546
collide*(1.5459, 0.0358, 1.5791)*CollisionTracker_LF*(1.4827, -0.1166, -0.0951) *(5.6674, -0.6696, 0.0713)*(1.6057, 0.0364, 1.6301)*Foot*(1.5465, 0.0212, 1.4869), 655.4824
collide*(1.6124, 0.0263, 1.5805)*CollisionTracker_RF*(-0.0024, -0.0303, 0.0205) *(-0.2760, -0.2043, 0.1594)*(1.5481, 0.0202, 1.4879)*Foot*(1.6057, 0.0364, 1.6301), 655.4881
Off course, 656.3151
Back on course, 656.7262
collide*(1.8234, 0.0135, 1.3310)*CollisionTracker_LF*(0.4551, -0.0095, -1.1795) *(-1.6186, 1.3048, -1.8611)*(1.9281, 0.0251, 1.2789)*Foot*(1.7387, 0.0159, 1.3151), 657.0591
collide*(1.8523, 0.0137, 1.2974)*CollisionTracker_RF*(-0.0195, 0.0087, -0.0036) *(0.2156, -0.1912, 0.3889)*(1.7403, 0.0148, 1.3143)*Foot*(1.9281, 0.0251, 1.2789), 657.0644
collide*(2.1144, 0.1902, 0.7904)*CollisionTracker_LF*(-0.1645, -0.0131, -1.2448) *(4.2034, -19.0787, -6.7807)*(2.1396, 0.3049, 0.7555)*Obstacle*(2.0000, 0.0975, 0.8000), 659.3804
collide*(2.0308, 0.0585, 0.2447)*CollisionTracker_RF*(0.0772, -0.2254, -1.5817) *(3.7851, -4.0682, -5.5780)*(1.9319, 0.0747, 0.2947)*Foot*(2.0964, 0.0174, 0.1638), 660.3134
